budget,task_id,seed,baseline_SUN,full_SUN,delta_SUN,baseline_mSUN,full_mSUN,delta_mSUN,baseline_AUDC,full_AUDC,delta_AUDC,baseline_raw_result_sha256,full_raw_result_sha256,baseline_acceptance_kind,full_acceptance_kind
50,Ag-Nd-Pd-Pt-Tb,1,10,19,9,0.2,0.38,0.18,0.1856,0.2964,0.11080000000000001,87825730e9e7fe5661e42318441b84da1bcec640d4617961965f9753e0ee9e73,33216eb21e833987b2456795e76e153cb9f31441c9e9360ab5bef21d17b4fcc3,per_job_receipt,per_job_receipt
50,Al-Hg-K-Mg-W,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,dbae1ff9dc448854170a98c2a20a54e64df8b520d934820a215901c8f2889f74,8c66ed909106985ac254f03fb2df3e50914132ac13412c290789153d239ddfac,per_job_receipt,per_job_receipt
50,Al-Li-V,1,22,3,-19,0.44,0.06,-0.38,0.4776,0.0844,-0.3932,3b4d343fc0c82485692485f95594e139c2e736947ce2bf2412d170cffe024282,5fb174448f2613064339457e83202959201507ba2be260b448c7e8900ec68d1b,per_job_receipt,per_job_receipt
50,Al-Lu-Pt-Rb-Sm,1,0,3,3,0.0,0.06,0.06,0.0,0.1148,0.1148,84f0cb848442d63d9be861ad4e48468c49840884cd680ccc109b02c1b8807e38,d7335f31b1525562fd5172bdf0bac0fb04251ee97b893c7a81608b3e99a53807,per_job_receipt,per_job_receipt
50,Al-V-Zn,1,22,17,-5,0.44,0.34,-0.09999999999999998,0.5,0.394,-0.10599999999999998,9e228d69004fed701f4dbc2b6378c1b65ca65a685ac64a42f98a811067d4768a,e5b28c7594b887000686903bcf7bdf90a59c24472810f2c34fb55565846d1718,per_job_receipt,per_job_receipt
50,Au-Cr-Cs-Dy,1,14,0,-14,0.28,0.0,-0.28,0.1224,0.0,-0.1224,a9f4fcec43c4c22380d27015e6338a0d727b55703ca7f1f680e9cf790ebc3c6c,d4faf89f1cb20f46ff2a6b0cf633001148cf9d38395efa263cf3abba517033fe,per_job_receipt,per_job_receipt
50,Au-K-Tb,1,8,2,-6,0.16,0.04,-0.12,0.1464,0.0136,-0.1328,be99a88054e9dcd56d50ac07d51cb0aa4c5cd7ca26c9910e2a6c29de49413956,5fa13abc3b5d32798347ab367685acd4d205e88a4a625b26ef3b1e188b9fa42d,per_job_receipt,per_job_receipt
50,Au-Tb-V-Y,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,c5f64b198e493e31637630aa4b0b9d6b5749933273339cf41897a5e4b1eaa4d0,a2bf79863144f0c9468cf233fcbb03b5c2d2f78f25617d8eef47d94ddfa562f2,per_job_receipt,per_job_receipt
50,Ba-Be-Hf-Li,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,23a5d4a192dc40313fa83ed2092ac766a6e7665a37b0d5e4302e38ea1f0fab3e,434d4ed6d8737ffd09c37005fc43c7ee6331114832e2d2dc1d7605e7885d6a37,per_job_receipt,per_job_receipt
50,Ba-Nd-Ni-W,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2b0cd02b58e99e5f3b17c8ef2eeac8c813f8bad168b8a635b43a2d6207a22185,c49a8aa914b39d2fe6c28837011aabc790a0bce13a851a7f91b56227c4ea3162,per_job_receipt,per_job_receipt
50,Ca-Fe-Gd-Pb-Tb,1,3,0,-3,0.06,0.0,-0.06,0.05,0.0,-0.05,5830bae145d8d83c381f5ebc92554ef55d859b9ce84017899ba1c81f2e20db85,0afcd1dd9fe6f31391162a82f49b2691d01883c5408598514760ef19d6fb0b26,per_job_receipt,per_job_receipt
50,Ca-Pd-Sn-W,1,0,1,1,0.0,0.02,0.02,0.0,0.0396,0.0396,6c3526030a952cb7240cd9e32b0cf296c93425117da67458d7adc8f9ad01a05f,739271a50742905f353d97d8db4f309774a426a4485d9a96a3503b47f68ef7d5,per_job_receipt,per_job_receipt
50,Cd-Gd-Mn-Na-Ta,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0acb5f008757e02ea9d81b6916cf87c9d8c9a684d8387ef478d7f1fee0d81cff,7e85ee0b23022327c51e069ac1df5a581ce64bb390b78157daf69bcaee98bf88,per_job_receipt,per_job_receipt
50,Cd-Li-Nd-Ti-W,1,2,3,1,0.04,0.06,0.019999999999999997,0.0776,0.0844,0.0068000000000000005,4fa6a3fbfa2abe94af9bab25ab7fb037445030490a93546dc8740b7e37075e3f,1ae1532a3985941977b646c2a64fd87802b2801ff6a9134a4967525a543fb329,per_job_receipt,per_job_receipt
50,Ce-Er-Pb-Rh,1,3,9,6,0.06,0.18,0.12,0.0924,0.206,0.11359999999999999,6c6c2f04d4c5da1b64b8a1da1e01fa9292decee454a1820bdf5977be38f3ca08,3644d5d42330764559333551f16744755c0dc633ca0f79c96a34dccc9e349455,per_job_receipt,per_job_receipt
50,Ce-Ir-Pt-Sn,1,7,11,4,0.14,0.22,0.07999999999999999,0.1644,0.2452,0.08080000000000001,0dbb2ef8fa4262bf66eee0facdd88fe17541b3282c959ee05383431dd0af66cb,7029148ac98670b2adf09b93fbcad0ea9ab9830597ebaed5656300bcb9eca7f5,per_job_receipt,per_job_receipt
