job_id,query,SUN
component-final-32355a4d9bcc6137d52ada7b,0,0
component-final-32355a4d9bcc6137d52ada7b,1,0
component-final-32355a4d9bcc6137d52ada7b,2,0
component-final-32355a4d9bcc6137d52ada7b,3,0
component-final-32355a4d9bcc6137d52ada7b,4,0
component-final-32355a4d9bcc6137d52ada7b,5,0
component-final-32355a4d9bcc6137d52ada7b,6,0
component-final-32355a4d9bcc6137d52ada7b,7,0
component-final-32355a4d9bcc6137d52ada7b,8,0
component-final-32355a4d9bcc6137d52ada7b,9,0
component-final-32355a4d9bcc6137d52ada7b,10,0
component-final-50555fb4776e15c94b4beec9,0,0
component-final-50555fb4776e15c94b4beec9,1,1
component-final-50555fb4776e15c94b4beec9,2,2
component-final-50555fb4776e15c94b4beec9,3,2
component-final-50555fb4776e15c94b4beec9,4,3
component-final-50555fb4776e15c94b4beec9,5,3
component-final-50555fb4776e15c94b4beec9,6,3
component-final-50555fb4776e15c94b4beec9,7,3
component-final-50555fb4776e15c94b4beec9,8,3
component-final-50555fb4776e15c94b4beec9,9,3
component-final-50555fb4776e15c94b4beec9,10,4
component-final-829f81d1c8b6dff9869aa711,0,0
component-final-829f81d1c8b6dff9869aa711,1,0
component-final-829f81d1c8b6dff9869aa711,2,0
component-final-829f81d1c8b6dff9869aa711,3,0
component-final-829f81d1c8b6dff9869aa711,4,1
component-final-829f81d1c8b6dff9869aa711,5,1
component-final-829f81d1c8b6dff9869aa711,6,1
component-final-829f81d1c8b6dff9869aa711,7,2
component-final-829f81d1c8b6dff9869aa711,8,3
component-final-829f81d1c8b6dff9869aa711,9,3
component-final-829f81d1c8b6dff9869aa711,10,4
component-final-2dce2a3709aad3945727809d,0,0
component-final-2dce2a3709aad3945727809d,1,0
component-final-2dce2a3709aad3945727809d,2,0
component-final-2dce2a3709aad3945727809d,3,0
component-final-2dce2a3709aad3945727809d,4,0
component-final-2dce2a3709aad3945727809d,5,0
component-final-2dce2a3709aad3945727809d,6,0
component-final-2dce2a3709aad3945727809d,7,0
component-final-2dce2a3709aad3945727809d,8,0
component-final-2dce2a3709aad3945727809d,9,0
component-final-2dce2a3709aad3945727809d,10,0
component-final-a8630b6c09e7eed6994a9658,0,0
component-final-a8630b6c09e7eed6994a9658,1,0
