budget,job_id,model_id,model_revision,seed,split,stage,task_id,status,SUN,AUDC,mSUN,result_sha256,failure_sha256
50,collection-made-qwen35-9b-v1-b2e27268bcd3ed3a45d766e5,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,1,train,collection,Al-Au-Hf,collection_result_pending_separate_audit,,,,73922184ce48c9c9389c55762efcd0c9ea174c236df14e810eef066056da6d41,
50,collection-made-qwen35-9b-v1-4eeb32242569e1f59c2fea0b,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,2,train,collection,Al-Au-Hf,collection_result_pending_separate_audit,,,,ba737496257fcee493fac2c1c0d6d11d548ed78200dbd7506bee9174e8ac0676,
50,collection-made-qwen35-9b-v1-77ecb57073ee2d2e70249682,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,3,train,collection,Al-Au-Hf,failed,,,,,63a1263cd7be38f327a3a869631a949e88b15a8f5f735a03b9f9181023c8fe08
50,collection-made-qwen35-9b-v1-6eea5f96cc5c5c2343bca6c9,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,1,train,collection,Au-Li-Pd,claimed_pending,,,,,
50,collection-made-qwen35-9b-v1-9cd3bdeb340468884b8d0f99,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,1,train,collection,Au-Mg-Nd,unclaimed,,,,,
50,collection-made-qwen35-9b-v1-b7effee7747bb0f2001a2014,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,1,dev,collection,Al-Pd-Sm,unclaimed,,,,,
50,collection-made-qwen35-9b-v1-4e6160b172897356904d9109,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,1,dev,collection,Dy-In-Pd,unclaimed,,,,,
10,qwen35-9b-core-baseline-v1-457357831752a303f15a4950,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,2,test,final_eval,Al-Li-V,accepted,1,0.01,0.1,14cbe67431dc3adfbf5b181e2043db3c581622ce1ae0096f12d63a148599f663,
10,qwen35-9b-core-baseline-v1-b39ab0b590b64ba91017e778,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,3,test,final_eval,Al-Li-V,accepted,3,0.37,0.3,b52cceb0ba31bc8a0362cb00326dc9ba9965683dd917079baa6456b8c9e609d4,
10,qwen35-9b-core-baseline-v1-612c021e510b4ea69dc1c682,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,4,test,final_eval,Al-Li-V,accepted,1,0.05,0.1,15bce3c2dec1509ec839f55128946689ab9f7902710e1380a59123505625350d,
10,qwen35-9b-core-baseline-v1-ef4de55a3dadb5eb50a80440,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,2,test,final_eval,Al-V-Zn,accepted,7,0.69,0.7,640be8b487f982fc0bd42738bfedb8c341255ab7cd1a192e4f84a20347886c8b,
10,qwen35-9b-core-baseline-v1-c757bc7d9a420855f00f8414,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,3,test,final_eval,Al-V-Zn,accepted,1,0.03,0.1,d443cf0581cd9f0980192979e46e6ed25d6abd6d8bbe747e691e404623b09e49,
10,qwen35-9b-core-baseline-v1-fed029a700b9f3f66153f67d,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,4,test,final_eval,Al-V-Zn,failed,,,,,63a1263cd7be38f327a3a869631a949e88b15a8f5f735a03b9f9181023c8fe08
10,qwen35-9b-core-baseline-v1-30ed342bb8b1bc931fdc8450,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,2,test,final_eval,Au-K-Tb,unclaimed,,,,,
10,qwen35-9b-core-baseline-v1-c1a6a99e1657b275c0c44a70,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,3,test,final_eval,Au-K-Tb,unclaimed,,,,,
10,qwen35-9b-core-baseline-v1-e63283d21f323b39b826711a,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,4,test,final_eval,Au-K-Tb,unclaimed,,,,,
10,qwen35-9b-core-baseline-v1-50af3e552cf5d9ebe550180a,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,2,test,final_eval,Co-Dy-W,unclaimed,,,,,
10,qwen35-9b-core-baseline-v1-036f873bd642ec7374f0d48b,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,3,test,final_eval,Co-Dy-W,unclaimed,,,,,
10,qwen35-9b-core-baseline-v1-3e6caa38fe59768b4662baf0,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,4,test,final_eval,Co-Dy-W,unclaimed,,,,,
10,qwen35-9b-core-baseline-v1-ec28851881b67182b12c95c0,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,2,test,final_eval,Co-Mg-Na,unclaimed,,,,,
10,qwen35-9b-core-baseline-v1-8c84a53147e0ae9a398c4b03,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,3,test,final_eval,Co-Mg-Na,unclaimed,,,,,
