job_id,candidate_attempt,SUN
qwen35-9b-core-baseline-v1-457357831752a303f15a4950,0,0
qwen35-9b-core-baseline-v1-457357831752a303f15a4950,1,0
qwen35-9b-core-baseline-v1-457357831752a303f15a4950,2,0
qwen35-9b-core-baseline-v1-457357831752a303f15a4950,3,0
qwen35-9b-core-baseline-v1-457357831752a303f15a4950,4,0
qwen35-9b-core-baseline-v1-457357831752a303f15a4950,5,0
qwen35-9b-core-baseline-v1-457357831752a303f15a4950,6,0
qwen35-9b-core-baseline-v1-457357831752a303f15a4950,7,0
qwen35-9b-core-baseline-v1-457357831752a303f15a4950,8,0
qwen35-9b-core-baseline-v1-457357831752a303f15a4950,9,0
qwen35-9b-core-baseline-v1-457357831752a303f15a4950,10,1
qwen35-9b-core-baseline-v1-b39ab0b590b64ba91017e778,0,0
qwen35-9b-core-baseline-v1-b39ab0b590b64ba91017e778,1,0
qwen35-9b-core-baseline-v1-b39ab0b590b64ba91017e778,2,0
qwen35-9b-core-baseline-v1-b39ab0b590b64ba91017e778,3,1
qwen35-9b-core-baseline-v1-b39ab0b590b64ba91017e778,4,2
qwen35-9b-core-baseline-v1-b39ab0b590b64ba91017e778,5,2
qwen35-9b-core-baseline-v1-b39ab0b590b64ba91017e778,6,3
qwen35-9b-core-baseline-v1-b39ab0b590b64ba91017e778,7,3
qwen35-9b-core-baseline-v1-b39ab0b590b64ba91017e778,8,3
qwen35-9b-core-baseline-v1-b39ab0b590b64ba91017e778,9,3
qwen35-9b-core-baseline-v1-b39ab0b590b64ba91017e778,10,3
qwen35-9b-core-baseline-v1-612c021e510b4ea69dc1c682,0,0
qwen35-9b-core-baseline-v1-612c021e510b4ea69dc1c682,1,0
qwen35-9b-core-baseline-v1-612c021e510b4ea69dc1c682,2,0
qwen35-9b-core-baseline-v1-612c021e510b4ea69dc1c682,3,0
qwen35-9b-core-baseline-v1-612c021e510b4ea69dc1c682,4,0
qwen35-9b-core-baseline-v1-612c021e510b4ea69dc1c682,5,0
qwen35-9b-core-baseline-v1-612c021e510b4ea69dc1c682,6,0
qwen35-9b-core-baseline-v1-612c021e510b4ea69dc1c682,7,0
qwen35-9b-core-baseline-v1-612c021e510b4ea69dc1c682,8,1
qwen35-9b-core-baseline-v1-612c021e510b4ea69dc1c682,9,1
qwen35-9b-core-baseline-v1-612c021e510b4ea69dc1c682,10,1
