episode,seed,query_number,proposal_count,retry_reason,first_success,first_risk,first_graph_unavailable,second_success,second_risk,selected_proposal_index,explicit_invalid_fallback,both_valid_candidates_same_parameters,selected_no_HVI,selected_HV_increment,query_source_sha256,first_candidate_sha256,second_candidate_sha256
test_uq_esopt_5101,5101,6,2,high_risk_first,True,0.7209227681159973,,True,0.778691291809082,0,False,False,1,0.0,63a854e19d8fe2a474f557426a1e378143c8aa7c1b19e7c30eba30fd24966f58,bc403f8fc40d081ad80243b74d689095921987f03814df8e70bd2eb3879afc02,d853ba26bb66a493c66d7a7b3dc68e8d05fe308677c3e3468b88571b01183512
test_uq_esopt_5101,5101,7,2,high_risk_first,True,0.573218047618866,,True,0.38526615500450134,1,False,False,1,0.0,9805861bdd850ca2b543a9079d8e3a6938762c7c98b9fa19701efac5d01362e4,738077f851d63b601b71cd4a879cafd428d8eb84b3f82ed18d607485cfceb84c,b5bce2c90bd349f3be74321684b8f2640a64899143795343ae6b62a1f0807c6a
test_uq_esopt_5101,5101,8,2,high_risk_first,True,0.8701947927474976,,True,0.16378673911094666,1,False,False,1,0.0,68787846d0bb038580b901405cc9435ada736a8b18f6f63ca567c77171da9056,c703788f25d3b44599f2633e2fc0e167e791acf3d5dcdd83905571bb27ca0068,c6f41280bfc498d4013768e239e2816365bdecb3bcdeea98f9870beb38d63110
test_uq_esopt_5101,5101,9,1,none,True,0.16824571788311005,,,,0,False,False,1,0.0,12bacb6cda417a5e0e865a01e1e5dfd0611b380efbb073e3668459c308679a13,7629281132cbf4ff29a9d959bd9e4f3f71034e31f5f480dc47b36c4c04f80c83,
test_uq_esopt_5101,5101,10,2,invalid_first,False,,,True,0.21117138862609863,1,False,False,1,0.0,a6d7a4916c45d5f2d636d694fc561f88635de69fb54595dadc399785402ce513,34372b044d8cf5a1325fbc758306040a9b460004cf20e141935dd1494eb4c9d4,26f608d137460b3c8e031e853b11818235f9d161253fa9a0ec8cb71a8e779089
test_uq_esopt_5101,5101,11,1,none,True,0.09153354167938232,,,,0,False,False,1,0.0,205e8ae1bfa3d044a4a1992ea9c5c9de0df0a75e1cbbe7ea561571d7623ae2fb,2cd9e155ccdbbbd81a94a168cfcc97bb361208157b8aeff22a66bfc33757981e,
test_uq_esopt_5101,5101,12,2,invalid_first,False,,,True,0.06912564486265182,1,False,False,1,0.0,86f75f370c014a43f6d8ae0d4ec112e9aed49b9bb77e907cc20082e458db2b4f,d51ab6aae13c4cb4b55cdfbf94a3e4a365211d3440cf2a13f67325c505755f74,77c430475a644a2b08745fe879351e679de22a7606d44db2caee8ba600f9d05e
test_uq_esopt_5101,5101,13,1,none,True,0.06632387638092041,,,,0,False,False,1,0.0,50c56a8cd5823429b0a9a4f1dbc675f194408636611c2bd3ef6ed1ca75f9a4ca,d1daaa7a931052165922af16285ea45ff0847436ebba9e29c35941e3f4a00b6d,
test_uq_esopt_5101,5101,14,1,none,True,0.4461655914783478,,,,0,False,False,1,0.0,243e63577aaa3ec994bb74fc9dcb90386c6e7319b4be4f507a4cc0a74e61ec76,3242224bb91070b122020386b857138bbe45180bc73478d342d23314630c2295,
test_uq_esopt_5101,5101,15,1,none,True,0.31042537093162537,,,,0,False,False,1,0.0,20e9ec102ea457eb6e597cc7d7cf5434db26c6c5207c2781592195766dd6db58,ed4a15e848bfefdf80fe6ec1fb9134bda02bf9917f8b6452b6f56bdf9cbdbf43,
test_uq_esopt_5101,5101,16,1,none,True,0.05901101976633072,,,,0,False,False,1,0.0,a1a3a8f068d64b735866d4a032cec23efe89807f7e0afd11bba4817ccd4aa08e,de9f459dbe35bcf597fe2604371fea9c302be3d038925c516d1a2b7b38902b3d,
test_uq_esopt_5101,5101,17,1,none,True,0.05871305242180824,,,,0,False,False,1,0.0,61899a30e58ac6ead86a04b94e69d9e4973c00eed3c53612eb55c7d7b890d3be,4f3d5b69b2c311d4da34c45b5cd5315c5d26dbfb0f9019a62de27c73117da92d,
test_uq_esopt_5101,5101,18,1,none,True,0.10993213206529617,,,,0,False,False,1,0.0,ff3c46c9742b650a07a5c7dac5b6caa0dc484f3024e3ca6e9733808fb59d6b4e,df1420f85c7a80d5de179bdedd3e36f08eea7f2fde1e3bfb6c563a4d1dcfa813,
test_uq_esopt_5101,5101,19,1,none,True,0.08016826957464218,,,,0,False,False,1,0.0,48a5ff3cc1e769944e4b060df66e8998eba92d94f1906f9e8ae99469d5a6b4d8,581cfe8d5ff0e15657d7927e299b746c07eb9610e13d426b9445fc112597234c,
test_uq_esopt_5101,5101,20,1,none,True,0.07558902353048325,,,,0,False,False,1,0.0,84e61c027b447ccdaf04dc0dc42985d62a4e560ae7a95a8074f48c6d7c0126fa,d72d548a8e0ad05f01b467e12c250d3e677115332b459a29ef28d2bb435356a7,
test_uq_esopt_5101,5101,21,1,none,True,0.1377759575843811,,,,0,False,False,1,0.0,7a6cd19a28e68c28b39be9aa1787a3382e4c77611c17f8fd726a25d7202962ab,f7b05f731630707dc0f39f63bbc95af82e0beeec5bd46f31f9c2c19d8d22f713,
