population,feature,family,records,missing_n,missing_rate,finite_n,mean,min,p05,p25,p50,p75,p95,max
train,graph.activation_max,graph,75,0,0.0,75,8.245211232503255,6.879843235015869,7.265299510955811,7.823474407196045,8.186887741088867,8.555687427520752,9.553470897674561,10.386173248291016
train,graph.activation_mean,graph,75,0,0.0,75,7.485324392137073,6.692624409993489,6.915940368175507,7.260957309177943,7.438002872467041,7.699861749013265,8.149777104059854,8.400646209716797
train,graph.activation_missing,graph,75,0,0.0,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,graph.activation_q50,graph,75,0,0.0,75,7.381662359237671,6.534737586975098,6.789230465888977,7.045977354049683,7.379246711730957,7.66068172454834,8.107346820831298,8.43862771987915
train,graph.activation_q90,graph,75,0,0.0,75,8.062553998947143,6.842477321624756,7.151998944282532,7.694790196418762,8.064454364776612,8.263207721710206,9.258966064453125,9.835565376281739
train,graph.activation_q99,graph,75,0,0.0,75,8.226945509147644,6.876106643676758,7.2526633138656615,7.811902914047241,8.17111415863037,8.544005966186523,9.526383353233337,10.331112461090088
train,graph.activation_std,graph,75,0,0.0,75,0.5386711278447336,0.0,0.1514340597190772,0.3702107800870539,0.5234408813695781,0.6573177856540461,1.056656575905158,1.3383298070574934
train,graph.degree_max,graph,75,0,0.0,75,470.8,413.0,420.7,445.0,462.0,490.5,548.3,566.0
train,graph.degree_mean,graph,75,0,0.0,75,4.729549345759665,2.131812420785805,3.0104875489544076,3.9597723699246483,4.810752688172043,5.439000429790631,6.794415607352238,8.517967781908302
train,graph.degree_std,graph,75,0,0.0,75,31.065157665900497,21.189120397136776,25.551336551421613,28.38649762695087,30.998353968190802,33.08902378121156,38.03291041370788,42.44514631187392
train,graph.density,graph,75,0,0.0,75,0.0028280398151986114,0.0012159537163951935,0.0014906053663635518,0.0023577314812156997,0.0026722826722826725,0.0033294598389032944,0.0041697171780291096,0.00528409912029051
train,graph.edge_abs_effective_count,graph,75,0,0.0,75,199.94392495768082,63.735127305726955,116.36081962116992,151.91938808310016,194.4104572219177,240.4586867717731,299.04019440891364,408.307886177182
train,graph.edge_abs_hhi,graph,75,0,0.0,75,0.005540402321503671,0.0024491322206940127,0.0033440324602382098,0.00415872070495234,0.005143756227364403,0.00658250130668423,0.008594654860503462,0.015689934927142515
train,graph.edge_abs_sum,graph,75,0,0.0,75,89.43371834926249,21.06572769957711,38.244406605989205,66.14592803421692,87.04732276244613,108.28738190051081,152.32688353349803,207.96408171777148
train,graph.edge_abs_top10_share,graph,75,0,0.0,75,0.14663139604940917,0.07500045744676678,0.09787664770038373,0.12038390205150434,0.1381740958670518,0.1706262329824837,0.20436250408952067,0.30900744850327544
