episode,arm,seed,query_number,kind,conc_dfnb,equiv_pldn,tau,temperature,canonical_numeric_tuple,repeat_of_earlier_executed_query,first_query_number,objective_max_abs_difference_from_first_same_tuple,sty,e_factor,no_HVI,HV_increment,risk,proposal_count,invalid_proposals,elapsed_seconds,source_relative_path,source_sha256
test_gp_ei_scalarized_5101,gp_ei_scalarized,5101,6,gp_ei_scalarized,0.4727479699999094,1.4697631895542145,0.5166547088883817,90.22220662795007,0.5166547088883817|1.4697631895542145|0.4727479699999094|90.22220662795007,False,6,,10332.856768592828,9.15646750693524,0,0.0001185905240191909,,0,0,18.590219974517822,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_gp_ei_scalarized_5101/query005.json,b5b4767a9e21cd393a1ddc4ef1003b6a0c24100e0f901d9dee8e2cc1f47fdecb
test_gp_ei_scalarized_5101,gp_ei_scalarized,5101,29,gp_ei_scalarized,0.49473188295960424,1.4942849390208721,0.5003868639469147,100.19850787706673,0.5003868639469147|1.4942849390208721|0.49473188295960424|100.19850787706673,False,29,,10929.54929708119,8.978853459452772,0,7.115744625219023e-05,,0,0,12.223722219467163,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_gp_ei_scalarized_5101/query028.json,0e643c902e32aa27e748fe353f6e32cdc2fcf601cb64edc43dfdf20beceb931d
test_gp_ei_scalarized_5101,gp_ei_scalarized,5101,38,gp_ei_scalarized,0.4856273140758276,1.9863866940140724,0.5074116992764175,60.73231117799878,0.5074116992764175|1.9863866940140724|0.4856273140758276|60.73231117799878,False,38,,10932.018110801919,9.005078853109545,0,1.4265598080598352e-07,,0,0,8.357918977737427,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_gp_ei_scalarized_5101/query037.json,4912fb88248d06759e2115f31e0c9dcfab4ff6bf47c101126c75cf8585007da2
test_gp_ei_scalarized_5102,gp_ei_scalarized,5102,6,gp_ei_scalarized,0.48766883425414564,1.1222738437354565,0.5263176518492401,108.10560959391296,0.5263176518492401|1.1222738437354565|0.48766883425414564|108.10560959391296,False,6,,10407.796047643973,8.809554697635654,0,0.0002713415419988152,,0,0,21.676362991333008,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_gp_ei_scalarized_5102/query005.json,bf38427db6a60c6fe7f56febd86a530edfdfa9c345d53d7c79117e1df9d24ce6
test_gp_ei_scalarized_5102,gp_ei_scalarized,5102,9,gp_ei_scalarized,0.49395265206694605,1.2227232456207275,0.5014540129341185,101.30922806449234,0.5014540129341185|1.2227232456207275|0.49395265206694605|101.30922806449234,False,9,,11119.501814223166,8.688092414567762,0,0.00015565581302789955,,0,0,10.980836391448975,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_gp_ei_scalarized_5102/query008.json,f26f16e726308e42f535942cfc02c317ff6c4fb37fed30d3fd32bb769dd4038b
test_gp_ei_scalarized_5102,gp_ei_scalarized,5102,27,gp_ei_scalarized,0.49795843809843066,2.0517008788883686,0.5033772685565054,50.906859543174505,0.5033772685565054|2.0517008788883686|0.49795843809843066|50.906859543174505,False,27,,11146.296619854591,8.956930377558058,0,1.6475305663066209e-06,,0,0,9.846394538879395,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_gp_ei_scalarized_5102/query026.json,8e1452a39d892d2bba99f072899bef5e79101f1bf913f4d295213a7f9acd3e37
test_gp_ei_scalarized_5102,gp_ei_scalarized,5102,30,gp_ei_scalarized,0.49899850301444537,2.7971264868974686,0.5086633772589266,54.12341354414821,0.5086633772589266|2.7971264868974686|0.49899850301444537|54.12341354414821,False,30,,11215.247182929274,9.067525098460589,0,3.652976856893808e-06,,0,0,9.094526290893555,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_gp_ei_scalarized_5102/query029.json,d9f0109c403b67e979fdeb3c01f04c69b7c811c39735a30a2c6846dce8e044d5
test_gp_ei_scalarized_5103,gp_ei_scalarized,5103,7,gp_ei_scalarized,0.49614663720130925,1.0807375274598598,0.5478947954252362,81.15627276711166,0.5478947954252362|1.0807375274598598|0.49614663720130925|81.15627276711166,False,7,,9733.63981988467,9.08970898894754,0,0.00010160583300744541,,0,0,8.98203420639038,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_gp_ei_scalarized_5103/query006.json,904e0534f0f13bf5e470c7ddb5d884179d9bcc9625e6685e7937c94b36539a9b
test_gp_ei_scalarized_5103,gp_ei_scalarized,5103,8,gp_ei_scalarized,0.4821493849158287,2.0793171413242817,0.519168050494045,43.61480754800141,0.519168050494045|2.0793171413242817|0.4821493849158287|43.61480754800141,False,8,,10142.741999273687,9.573506767772788,0,5.502848920424519e-06,,0,0,6.857266187667847,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_gp_ei_scalarized_5103/query007.json,cbd1500b40a8856ce7ad58751b8febaa1c5c7671cf0720cec154c2e79ce7ad7e
test_gp_ei_scalarized_5103,gp_ei_scalarized,5103,9,gp_ei_scalarized,0.4931722909212113,3.492514804005623,0.505628899205476,43.0633416865021,0.505628899205476|3.492514804005623|0.4931722909212113|43.0633416865021,False,9,,11228.024417600443,9.354933569210353,0,4.015615508257131e-05,,0,0,9.524168729782104,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_gp_ei_scalarized_5103/query008.json,324e089754e15e14e968c410a84f7cfb9c2d0ed775f772c4d2df9c4ed129f378
test_gp_ei_scalarized_5103,gp_ei_scalarized,5103,12,gp_ei_scalarized,0.4814077988266945,2.047273099422455,0.5078339404426515,59.59449171088636,0.5078339404426515|2.047273099422455|0.4814077988266945|59.59449171088636,False,12,,10832.809025412962,9.098153353434087,0,2.1711146597769293e-05,,0,0,6.565402030944824,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_gp_ei_scalarized_5103/query011.json,1a2b5f496d952ce1b376dddf0860a794ca7c1960ad1e5a9324935dcb860a64b9
test_gp_ei_scalarized_5103,gp_ei_scalarized,5103,15,gp_ei_scalarized,0.4901508692651987,1.3460391126573086,1.990050830412656,36.03660014458001,1.990050830412656|1.3460391126573086|0.4901508692651987|36.03660014458001,False,15,,2767.3390186501074,8.853322039797765,0,1.8553870297144393e-05,,0,0,7.202211380004883,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_gp_ei_scalarized_5103/query014.json,7ee885019d93fde420f96b708363ad5eafec140c06515baa1fcfa2d79bd161e0
test_gp_ei_scalarized_5103,gp_ei_scalarized,5103,29,gp_ei_scalarized,0.47907970212399964,1.1465761065483093,0.5031544286757708,94.89594259299338,0.5031544286757708|1.1465761065483093|0.47907970212399964|94.89594259299338,False,29,,10622.193704866975,9.045124380095297,0,1.0502218382946182e-05,,0,0,8.006018161773682,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_gp_ei_scalarized_5103/query028.json,0b0c2404ee202a555f95576a9bd5e38f0a68c5c7f315a1d7ba28d6178f892b63
