arm,job_id,queries,seed,status,final_hv,final_hv_gain,mean_querywise_hv,mean_querywise_hv_gain,brier,receipt_sha256,failure_sha256
uq_esopt,additional_v1_test_uq_esopt_5201,50,5201,accepted,0.8810117795428745,0.0,0.8810117795428739,0.0,0.731628809501768,44670da6aba59d9e2e026ced5f2c4753ea2dcd4aeac7fb29887e24d72d44493e,
uq_only,additional_v1_test_uq_only_5201,50,5201,accepted,0.8810117795428745,0.0,0.8810117795428739,0.0,0.731628809501768,8d6e431e5ceed1360b7539c9071cf8239d9e2dc2da620e84b295f72c2ae32a4c,
qwen_base,additional_v1_test_qwen_base_5201,50,5201,accepted,0.8810196594581099,7.879915235431412e-06,0.881016822688626,5.043145750676104e-06,,4139c69274624f2a96d13bf7d5ea373545dc039d05c3a8b9df889741061ebe57,
es_only,additional_v1_test_es_only_5201,50,5201,accepted,0.8810196594581099,7.879915235431412e-06,0.881016822688626,5.043145750676104e-06,,9f805139f40069b8de2e2200a4a94959d45a4a0c43283330645edaaaed960d9d,
uq_esopt,additional_v1_test_uq_esopt_5202,50,5202,accepted,0.8810117795428745,0.0,0.8810117795428739,0.0,0.7396632008255477,fae8b934ed33dc0e47c3ba23cf5e507977dd9de085f96a5a5749a0e57cd4f7ea,
uq_only,additional_v1_test_uq_only_5202,50,5202,accepted,0.8810117795428745,0.0,0.8810117795428739,0.0,0.7396632008255477,92b3ae8a1959426355dc38301d108165735ec85b13ff5cdbd0d425d5420685ff,
qwen_base,additional_v1_test_qwen_base_5202,50,5202,accepted,0.8810117795428745,0.0,0.8810117795428739,0.0,,3b65450002f5dc4b1ed61065305e0fee5c63995124b28923f66e104a3decc41e,
es_only,additional_v1_test_es_only_5202,50,5202,accepted,0.8810117795428745,0.0,0.8810117795428739,0.0,,38770ab9e500627963f84341879f218d831197acf6bbe57d4d3f66752c2022d5,
uq_esopt,additional_v1_test_uq_esopt_5203,50,5203,accepted,0.8810746519422515,6.287239937707856e-05,0.8810680414768616,5.6261933987293846e-05,0.6958801261073955,e25408ac77646f976aeeb2283b01268d94c75a638acd1e937e8590a5d83d9526,
uq_only,additional_v1_test_uq_only_5203,50,5203,accepted,0.8810746519422515,6.287239937707856e-05,0.8810680414768616,5.6261933987293846e-05,0.6958801261073955,ed3fd6b3c6f48d10cec20b7bddc22a33f077b53f5acce958bda5fc67439c1baa,
qwen_base,additional_v1_test_qwen_base_5203,50,5203,accepted,0.8810746519422515,6.287239937707856e-05,0.8810680414768616,5.6261933987293846e-05,,f1bee3e466a075c3b9d2c56ba3357edb35e4b0ea944fed848950dbb74775ecd5,
es_only,additional_v1_test_es_only_5203,50,5203,original_result_present_CPU_audit_pending,,,,,,cf59e3c239ceb73bd5893dead89b64399751c697deab75035b68c5ed3fa5b044,
