job_id,benchmark,model_key,method,task_id,seed,budget,SUN,AUDC,mSUN,candidate_oracle_attempts,complete,model_revision_recorded,selected_generation_recorded,actual_model_state_hash,raw_result_sha256,raw_result_relative_path,raw_RPC_sha256,raw_RPC_relative_path,receipt_sha256,verification_basis
core-final-made-b3cf3eb0b0abac870322dfca,made,qwen35_4b,baseline,Al-Li-V,1,10,0,0.0,0.0,10,True,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,0,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,57c2ba5dab897b80b3ac22f10de9555ab27a60428ce66e32a37d59e2ba2da569,core_workspaces/made_fast_subset_causal_v5/experiments/core_final/jobs/core-final-made-b3cf3eb0b0abac870322dfca/98e956e2c2d6426eb3565f40ebc9fc12/result.json,5b867700d941eb10443979f4c4615c6638ff6a5c32b98120045562a40e8e5ffc,core_workspaces/made_fast_subset_causal_v5/experiments/core_final/jobs/core-final-made-b3cf3eb0b0abac870322dfca/98e956e2c2d6426eb3565f40ebc9fc12/rpc/rpc.jsonl,,read_only_result_hash_identity_budget_and_original_RPC_curve_checked_at_snapshot
core-final-made-62c11475b68fc27b52f90528,made,qwen35_4b,esopt_graph_risk,Al-Li-V,1,10,2,0.18,0.2,10,True,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,2,2e5adce2a0d3785a1e1df3c41888f42eed2a23b9e175e3e0b1a4e1d3ef534fff,4a48578474376701b499ad706f1ef7be39348db3c1169b95489eada9cafa670f,core_workspaces/made_fast_subset_causal_v5/experiments/core_final/jobs/core-final-made-62c11475b68fc27b52f90528/06784341da0e4872b5d9437c6b99fd5e/result.json,6a36bfd094d15e917491b6dcc8bb6399ec6d6a935fbbbab3659fe80e1d28bbf6,core_workspaces/made_fast_subset_causal_v5/experiments/core_final/jobs/core-final-made-62c11475b68fc27b52f90528/06784341da0e4872b5d9437c6b99fd5e/rpc/rpc.jsonl,,read_only_result_hash_identity_budget_and_original_RPC_curve_checked_at_snapshot
core-final-made-e6ec0e8c12056042d3e30a1a,made,qwen35_4b,baseline,Al-V-Zn,1,10,6,0.68,0.6,10,True,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,0,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,d9e2464ee43fce63fc9519dbbc1c6d77ec0fe14593ec693e80ec19ab8030675b,core_workspaces/made_fast_subset_causal_v5/experiments/core_final/jobs/core-final-made-e6ec0e8c12056042d3e30a1a/6ec1fa3fe2584ccc8371bbb10bf11c3a/result.json,0723921be0220c6e783f1da8dc3567b0d7f4c7714605a3ddb82ac93751bab4ca,core_workspaces/made_fast_subset_causal_v5/experiments/core_final/jobs/core-final-made-e6ec0e8c12056042d3e30a1a/6ec1fa3fe2584ccc8371bbb10bf11c3a/rpc/rpc.jsonl,,read_only_result_hash_identity_budget_and_original_RPC_curve_checked_at_snapshot
core-final-made-d063abf251631ee8047431e9,made,qwen35_4b,esopt_graph_risk,Al-V-Zn,1,10,4,0.32,0.4,10,True,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,2,2e5adce2a0d3785a1e1df3c41888f42eed2a23b9e175e3e0b1a4e1d3ef534fff,8f68cef15d506e2a1d969bb879891276c6e6c480232a595dcc2cda61879394cc,core_workspaces/made_fast_subset_causal_v5/experiments/core_final/jobs/core-final-made-d063abf251631ee8047431e9/ace8a45b0fcf4a0cacf0f4be86e09bbb/result.json,7717bdd982cad0fc191f95fe3f9d99ed24851457f42a67c634231147f0b3ecdf,core_workspaces/made_fast_subset_causal_v5/experiments/core_final/jobs/core-final-made-d063abf251631ee8047431e9/ace8a45b0fcf4a0cacf0f4be86e09bbb/rpc/rpc.jsonl,,read_only_result_hash_identity_budget_and_original_RPC_curve_checked_at_snapshot
extension-final-made-771b1767fddc6d875c57c295,made,qwen35_4b,baseline,Au-K-Tb,1,10,6,0.8,0.6,10,True,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,0,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,7adc7937119dbda02df3641d0bb46a2a9dc11cac88d0e17201919b77372a223b,evaluation_workspaces/made_cumulative_five_v1/shards/primary/jobs/extension-final-made-771b1767fddc6d875c57c295/3f8ddbc9cdaf4ac986284e9eff9ddc8e/result.json,b0227e366f8a38ce72ec0cda1521c99fc45de43223693166b4afd0200d310fff,evaluation_workspaces/made_cumulative_five_v1/shards/primary/jobs/extension-final-made-771b1767fddc6d875c57c295/3f8ddbc9cdaf4ac986284e9eff9ddc8e/rpc/rpc.jsonl,,read_only_result_hash_identity_budget_and_original_RPC_curve_checked_at_snapshot
extension-final-made-c45054a96220519898111679,made,qwen35_4b,esopt_graph_risk,Au-K-Tb,1,10,0,0.0,0.0,10,True,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,2,2e5adce2a0d3785a1e1df3c41888f42eed2a23b9e175e3e0b1a4e1d3ef534fff,4b05943120082ed5477d95a2a7b31583961010694bf2b9195632b6867b10b110,evaluation_workspaces/made_cumulative_five_v1/shards/primary/jobs/extension-final-made-c45054a96220519898111679/46e14473f73a416eb2a828538bc17681/result.json,42c9018b7b926dba44177323243ef6e415bbedab8e9234a701a2f7884a2a49bc,evaluation_workspaces/made_cumulative_five_v1/shards/primary/jobs/extension-final-made-c45054a96220519898111679/46e14473f73a416eb2a828538bc17681/rpc/rpc.jsonl,,read_only_result_hash_identity_budget_and_original_RPC_curve_checked_at_snapshot
extension-final-made-f909f98ebec6c4dab4535b82,made,qwen35_4b,baseline,Co-Dy-W,1,10,0,0.0,0.0,10,True,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,0,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,22e97770bee728533254829a98b677399b1052b645c6fdddbdd4f5a0587ac27a,evaluation_workspaces/made_cumulative_five_v1/shards/primary/jobs/extension-final-made-f909f98ebec6c4dab4535b82/fcde8ed7b6674086be9e894c6c99d5d5/result.json,5bed9302a3d90fc7f43ca86c996155fd9d97eb25b6239ca3438c50966e2292dc,evaluation_workspaces/made_cumulative_five_v1/shards/primary/jobs/extension-final-made-f909f98ebec6c4dab4535b82/fcde8ed7b6674086be9e894c6c99d5d5/rpc/rpc.jsonl,,read_only_result_hash_identity_budget_and_original_RPC_curve_checked_at_snapshot
extension-final-made-ee71cc7e8c4f6d365c622b99,made,qwen35_4b,esopt_graph_risk,Co-Dy-W,1,10,0,0.0,0.0,10,True,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,2,2e5adce2a0d3785a1e1df3c41888f42eed2a23b9e175e3e0b1a4e1d3ef534fff,6d4b4fa1b4845a7fbe14949752650e69951284e24d0169801d6728fb6366d6ca,evaluation_workspaces/made_cumulative_five_v1/shards/secondary/jobs/extension-final-made-ee71cc7e8c4f6d365c622b99/5aca64df83604145be104ac24ba037b5/result.json,de1403fea15435ed6f06272a44ff0b46ea5616f98f6ae03e4592c6ad7d81a6c2,evaluation_workspaces/made_cumulative_five_v1/shards/secondary/jobs/extension-final-made-ee71cc7e8c4f6d365c622b99/5aca64df83604145be104ac24ba037b5/rpc/rpc.jsonl,,read_only_result_hash_identity_budget_and_original_RPC_curve_checked_at_snapshot
extension-final-made-6984f2ad558abdeabef13188,made,qwen35_4b,baseline,Co-Mg-Na,1,10,0,0.0,0.0,10,True,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,0,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,96006847f53af43ff19525c1d4fdc8bac39b6a0234b3d347375de4f3f18af4ac,evaluation_workspaces/made_cumulative_five_v1/shards/primary/jobs/extension-final-made-6984f2ad558abdeabef13188/3c3877df205c43a0a5c00b12572463c0/result.json,3c208d9ebc0071ec71921a5f1a883c408e7b1a887fccf0c23e25b61c2bae2d0e,evaluation_workspaces/made_cumulative_five_v1/shards/primary/jobs/extension-final-made-6984f2ad558abdeabef13188/3c3877df205c43a0a5c00b12572463c0/rpc/rpc.jsonl,,read_only_result_hash_identity_budget_and_original_RPC_curve_checked_at_snapshot
extension-final-made-1c68af5110c5af1dffea6c7d,made,qwen35_4b,esopt_graph_risk,Co-Mg-Na,1,10,0,0.0,0.0,10,True,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,2,2e5adce2a0d3785a1e1df3c41888f42eed2a23b9e175e3e0b1a4e1d3ef534fff,60f75b2fc8286f89d8aa3906662fcfb5b8b789ef5d396d19cf68941e2b578c6e,evaluation_workspaces/made_cumulative_five_v1/shards/secondary/jobs/extension-final-made-1c68af5110c5af1dffea6c7d/0d656f388d7d4f07b5111936946ecddb/result.json,0cb4dcf9d416187b24c2c53b1f1748ef9eab015117d269df3fb3f56827a6a0e3,evaluation_workspaces/made_cumulative_five_v1/shards/secondary/jobs/extension-final-made-1c68af5110c5af1dffea6c7d/0d656f388d7d4f07b5111936946ecddb/rpc/rpc.jsonl,,read_only_result_hash_identity_budget_and_original_RPC_curve_checked_at_snapshot
