job_id,quantity,value
qwen35-9b-core-baseline-v1-457357831752a303f15a4950,candidate_oracle_attempts,10
qwen35-9b-core-baseline-v1-457357831752a303f15a4950,completion_tokens,6786
qwen35-9b-core-baseline-v1-457357831752a303f15a4950,graph_seconds,0
qwen35-9b-core-baseline-v1-457357831752a303f15a4950,initialization_oracle_attempts,16
qwen35-9b-core-baseline-v1-457357831752a303f15a4950,initialization_wall_seconds,51.897051718086004
qwen35-9b-core-baseline-v1-457357831752a303f15a4950,llm_calls,35
qwen35-9b-core-baseline-v1-457357831752a303f15a4950,prompt_tokens,66661
qwen35-9b-core-baseline-v1-457357831752a303f15a4950,rpc_attempts,68
qwen35-9b-core-baseline-v1-457357831752a303f15a4950,step_attempts,10
qwen35-9b-core-baseline-v1-457357831752a303f15a4950,tool_attempts,34
qwen35-9b-core-baseline-v1-457357831752a303f15a4950,wall_seconds,1164.2094949670136
qwen35-9b-core-baseline-v1-b39ab0b590b64ba91017e778,candidate_oracle_attempts,10
qwen35-9b-core-baseline-v1-b39ab0b590b64ba91017e778,completion_tokens,7268
qwen35-9b-core-baseline-v1-b39ab0b590b64ba91017e778,graph_seconds,0
qwen35-9b-core-baseline-v1-b39ab0b590b64ba91017e778,initialization_oracle_attempts,16
qwen35-9b-core-baseline-v1-b39ab0b590b64ba91017e778,initialization_wall_seconds,50.18354184925556
qwen35-9b-core-baseline-v1-b39ab0b590b64ba91017e778,llm_calls,43
qwen35-9b-core-baseline-v1-b39ab0b590b64ba91017e778,prompt_tokens,85162
qwen35-9b-core-baseline-v1-b39ab0b590b64ba91017e778,rpc_attempts,80
qwen35-9b-core-baseline-v1-b39ab0b590b64ba91017e778,step_attempts,10
qwen35-9b-core-baseline-v1-b39ab0b590b64ba91017e778,surrogate_oracle_attempts,2
qwen35-9b-core-baseline-v1-b39ab0b590b64ba91017e778,tool_attempts,40
qwen35-9b-core-baseline-v1-b39ab0b590b64ba91017e778,wall_seconds,1086.8883394263685
qwen35-9b-core-baseline-v1-612c021e510b4ea69dc1c682,candidate_oracle_attempts,10
qwen35-9b-core-baseline-v1-612c021e510b4ea69dc1c682,completion_tokens,3539
qwen35-9b-core-baseline-v1-612c021e510b4ea69dc1c682,graph_seconds,0
qwen35-9b-core-baseline-v1-612c021e510b4ea69dc1c682,initialization_oracle_attempts,16
qwen35-9b-core-baseline-v1-612c021e510b4ea69dc1c682,initialization_wall_seconds,55.38240575417876
qwen35-9b-core-baseline-v1-612c021e510b4ea69dc1c682,llm_calls,22
qwen35-9b-core-baseline-v1-612c021e510b4ea69dc1c682,prompt_tokens,48256
qwen35-9b-core-baseline-v1-612c021e510b4ea69dc1c682,rpc_attempts,40
qwen35-9b-core-baseline-v1-612c021e510b4ea69dc1c682,score_sentinels,14
qwen35-9b-core-baseline-v1-612c021e510b4ea69dc1c682,step_attempts,10
qwen35-9b-core-baseline-v1-612c021e510b4ea69dc1c682,surrogate_oracle_attempts,314
qwen35-9b-core-baseline-v1-612c021e510b4ea69dc1c682,tool_attempts,20
qwen35-9b-core-baseline-v1-612c021e510b4ea69dc1c682,wall_seconds,1589.9996199570596
qwen35-9b-core-baseline-v1-ef4de55a3dadb5eb50a80440,candidate_oracle_attempts,10
qwen35-9b-core-baseline-v1-ef4de55a3dadb5eb50a80440,completion_tokens,3704
qwen35-9b-core-baseline-v1-ef4de55a3dadb5eb50a80440,graph_seconds,0
qwen35-9b-core-baseline-v1-ef4de55a3dadb5eb50a80440,initialization_oracle_attempts,12
qwen35-9b-core-baseline-v1-ef4de55a3dadb5eb50a80440,initialization_wall_seconds,44.41942858323455
qwen35-9b-core-baseline-v1-ef4de55a3dadb5eb50a80440,llm_calls,20
qwen35-9b-core-baseline-v1-ef4de55a3dadb5eb50a80440,prompt_tokens,48256
qwen35-9b-core-baseline-v1-ef4de55a3dadb5eb50a80440,rpc_attempts,38
qwen35-9b-core-baseline-v1-ef4de55a3dadb5eb50a80440,step_attempts,10
qwen35-9b-core-baseline-v1-ef4de55a3dadb5eb50a80440,tool_attempts,19
qwen35-9b-core-baseline-v1-ef4de55a3dadb5eb50a80440,wall_seconds,619.8292440511286
qwen35-9b-core-baseline-v1-c757bc7d9a420855f00f8414,candidate_oracle_attempts,10
qwen35-9b-core-baseline-v1-c757bc7d9a420855f00f8414,completion_tokens,6108
qwen35-9b-core-baseline-v1-c757bc7d9a420855f00f8414,graph_seconds,0
qwen35-9b-core-baseline-v1-c757bc7d9a420855f00f8414,initialization_oracle_attempts,12
qwen35-9b-core-baseline-v1-c757bc7d9a420855f00f8414,initialization_wall_seconds,43.470741618424654
qwen35-9b-core-baseline-v1-c757bc7d9a420855f00f8414,llm_calls,38
qwen35-9b-core-baseline-v1-c757bc7d9a420855f00f8414,prompt_tokens,73518
qwen35-9b-core-baseline-v1-c757bc7d9a420855f00f8414,rpc_attempts,58
qwen35-9b-core-baseline-v1-c757bc7d9a420855f00f8414,score_sentinels,306
qwen35-9b-core-baseline-v1-c757bc7d9a420855f00f8414,step_attempts,10
qwen35-9b-core-baseline-v1-c757bc7d9a420855f00f8414,surrogate_oracle_attempts,505
qwen35-9b-core-baseline-v1-c757bc7d9a420855f00f8414,tool_attempts,29
qwen35-9b-core-baseline-v1-c757bc7d9a420855f00f8414,wall_seconds,3029.553708679974
