job_id,candidate_attempt,SUN
qwen35-9b-core-baseline-v1-457357831752a303f15a4950,0,0
qwen35-9b-core-baseline-v1-457357831752a303f15a4950,1,0
qwen35-9b-core-baseline-v1-457357831752a303f15a4950,2,0
qwen35-9b-core-baseline-v1-457357831752a303f15a4950,3,0
qwen35-9b-core-baseline-v1-457357831752a303f15a4950,4,0
qwen35-9b-core-baseline-v1-457357831752a303f15a4950,5,0
qwen35-9b-core-baseline-v1-457357831752a303f15a4950,6,0
qwen35-9b-core-baseline-v1-457357831752a303f15a4950,7,0
qwen35-9b-core-baseline-v1-457357831752a303f15a4950,8,0
qwen35-9b-core-baseline-v1-457357831752a303f15a4950,9,0
qwen35-9b-core-baseline-v1-457357831752a303f15a4950,10,1
