split,task,seed,job_id,step,rpc_id,response_line,propagated_proposal_labels,last_select_decision_id,future_failure,future_probability,unstable,unstable_probability,not_new,not_new_probability,graph_available
train,Al-Au-Hf,1,collection-made-b5744f83a99f950e49cfafd4,1,6,14,3,collection-made-b5744f83a99f950e49cfafd4:d0000002-c0,0,0.500472366809845,0,0.3989807537130171,0,0.3720165645446727,True
train,Al-Au-Hf,1,collection-made-b5744f83a99f950e49cfafd4,2,12,26,3,collection-made-b5744f83a99f950e49cfafd4:d0000005-c0,1,0.5009133219718933,1,0.4099031050099981,0,0.403637554941246,True
train,Al-Au-Hf,1,collection-made-b5744f83a99f950e49cfafd4,3,16,34,2,collection-made-b5744f83a99f950e49cfafd4:d0000007-c0,0,0.4999685287475586,0,0.4908379198851994,0,0.3097637286781674,True
train,Al-Au-Hf,1,collection-made-b5744f83a99f950e49cfafd4,4,22,46,3,collection-made-b5744f83a99f950e49cfafd4:d0000010-c0,1,0.4999406337738037,0,0.49001869250051466,1,0.2955263806190818,True
train,Al-Au-Hf,1,collection-made-b5744f83a99f950e49cfafd4,5,30,62,4,collection-made-b5744f83a99f950e49cfafd4:d0000014-c0,1,0.49988797307014465,1,0.4992147532588405,0,0.3303226253779926,True
train,Al-Au-Hf,1,collection-made-b5744f83a99f950e49cfafd4,6,34,70,2,collection-made-b5744f83a99f950e49cfafd4:d0000016-c0,0,0.4997875392436981,0,0.4859303395335007,0,0.27909368322970596,True
train,Al-Au-Hf,1,collection-made-b5744f83a99f950e49cfafd4,7,38,78,2,collection-made-b5744f83a99f950e49cfafd4:d0000018-c0,1,0.4998966157436371,1,0.49770148392300567,0,0.29696288697416123,True
train,Al-Au-Hf,1,collection-made-b5744f83a99f950e49cfafd4,8,40,82,1,collection-made-b5744f83a99f950e49cfafd4:d0000019-c0,1,0.4998781979084015,1,0.49271605672903135,0,0.28149435138401013,True
train,Al-Au-Hf,1,collection-made-b5744f83a99f950e49cfafd4,9,42,86,1,collection-made-b5744f83a99f950e49cfafd4:d0000020-c0,0,0.49981093406677246,0,0.48058910367017404,0,0.26938224398033045,True
train,Al-Au-Hf,1,collection-made-b5744f83a99f950e49cfafd4,10,46,94,2,collection-made-b5744f83a99f950e49cfafd4:d0000022-c0,1,0.49984419345855713,0,0.4849744293593125,1,0.31080088382649546,True
