scenario,arm,budget,minutes,new_observed_n,historical180_ratio_if_extrapolated
median,baseline_reference,10,9.6315045773983,90,
median,baseline_reference,30,38.33031719128291,5,
median,baseline_reference,50,49.37405231715658,0,6.023403981179285
median,uq_only_support_aware,10,31.560728565851846,83,
median,uq_only_support_aware,30,69.73498476755134,0,2.478326912081837
median,uq_only_support_aware,50,125.94089042369028,0,4.518043514530014
median,es_only_independent,10,8.079381599028904,90,
median,es_only_independent,30,25.701349659760794,8,
median,es_only_independent,50,38.464286095402564,0,6.023403981179285
median,full_support_aware,10,22.303247821331027,84,
median,full_support_aware,30,49.81185381573069,0,2.478326912081837
median,full_support_aware,50,89.52389568816136,0,4.518043514530014
conservative_p75,baseline_reference,10,12.585166864593823,90,
conservative_p75,baseline_reference,30,40.88625221252441,5,
conservative_p75,baseline_reference,50,86.99224624541957,0,8.245648087129046
conservative_p75,uq_only_support_aware,10,35.43776561617851,83,
conservative_p75,uq_only_support_aware,30,90.5869109609281,0,2.7448171884913495
conservative_p75,uq_only_support_aware,50,161.6380036949394,0,4.949317934158361
conservative_p75,es_only_independent,10,9.420293964942296,90,
conservative_p75,es_only_independent,30,30.441443001230557,8,
conservative_p75,es_only_independent,50,64.03954336859525,0,8.245648087129046
conservative_p75,full_support_aware,10,27.03152888119221,84,
conservative_p75,full_support_aware,30,65.4507456424906,0,2.7448171884913495
conservative_p75,full_support_aware,50,116.24707730318751,0,4.949317934158361
