job_id,arm,task_id,seed,step_index,rpc_id,decision_id,candidate_hash,reduced_formula,is_stable,is_newly_discovered,event_stable_and_new,SUN_before,SUN_after,SUN_delta,e_above_hull,direct_selection_scalar,graph_status,linked_preceding_executed_actions
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,1,4,component-final-32355a4d9bcc6137d52ada7b:d0000001-c0,2eb75f52cc9294a37400f739925cd4f8bf52cf0dc64bd13864137397deb3d907,Al1 Li2 V1,False,True,False,0,0,0,0.15938409169515033,0.5004896521568298,,2
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,2,8,component-final-32355a4d9bcc6137d52ada7b:d0000003-c0,a908fb0edb210aa621f46896ed92191cad3b5cffe6dac2000eaaf06be5fe96e2,Al1 Li1 V3,False,True,False,0,0,0,0.15020014444986973,0.500097393989563,,2
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,3,10,component-final-32355a4d9bcc6137d52ada7b:d0000004-c0,02ecc784be1d65109c38497f1ba9194f3f796ec41ec3dcec61493ec5a421e8e9,Al1 Li2 V1,False,False,False,0,0,0,0.15959866841634174,0.5000537633895874,,1
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,4,16,component-final-32355a4d9bcc6137d52ada7b:d0000007-c0,f5a33150e081f6b65a3da33ab33f3ebc751c43aff567373c687343851344ddde,Al1 Li3 V2,False,True,False,0,0,0,0.12371148003472232,0.49997055530548096,,3
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,5,22,component-final-32355a4d9bcc6137d52ada7b:d0000010-c0,f14493d7ac7b7811893b8bb08a1a0c6e45c0e937bd343e7fb2430c11d131d474,Al1 Li2 V3,False,True,False,0,0,0,0.21878094143337634,0.500049352645874,,3
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,6,26,component-final-32355a4d9bcc6137d52ada7b:d0000012-c0,538fb4ea2879ba464eaf3f56f6a4a958144d675ae13da8272746b4e0b77a2b31,Al1 Li2 V3,False,False,False,0,0,0,0.21870274013943103,0.4999668598175049,,2
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,7,40,component-final-32355a4d9bcc6137d52ada7b:d0000019-c0,02f3fd97d080d9da249075a94e6f01a6b89c755bf93fed6e497053be301eb127,Al1 Li2 V3,False,True,False,0,0,0,0.25073284573025134,0.5000329613685608,,7
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,8,42,component-final-32355a4d9bcc6137d52ada7b:d0000020-c0,e57885ddbcc952bc48af7c07fbf5a09518e59cb3e7b443092d9cddbbb3b9af69,Al1 Li2 V3,False,True,False,0,0,0,0.12552621629503058,0.5000508427619934,,1
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,9,44,component-final-32355a4d9bcc6137d52ada7b:d0000021-c0,9865dedd34476e1e0c048d6b22b0a63f0483307ad56d5fbc486e7175f5ee3d77,Al2 Li3 V3,False,True,False,0,0,0,0.11519479751586914,0.5000702142715454,,1
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,10,48,component-final-32355a4d9bcc6137d52ada7b:d0000023-c0,d618e2a0e93ad86912fd75f8e6917bb2391ee5a26e28620ef9fc0b45f8bcbdc1,Al1 Li3 V3,False,True,False,0,0,0,0.14576557704380555,0.5002568364143372,,2
