job_id,arm,task_id,seed,sequence,decision_ids,proposal_count,chosen_index,first_trigger,first_trigger_source,generation_success,controller_schema_valid,graph_statuses,candidate_tools,controller_valid_indices,type_signals_used,ranking_rule,common_heads,selection_changed_from_first_controller_valid,chosen_decision_id,actual_next_candidate,second_feedback
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,0,"[""component-final-32355a4d9bcc6137d52ada7b:d0000000-c0""]",1,0,,,[true],[null],[null],"[""generate_structures""]",[],,,,False,component-final-32355a4d9bcc6137d52ada7b:d0000000-c0,False,
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,1,"[""component-final-32355a4d9bcc6137d52ada7b:d0000001-c0""]",1,0,,,[true],[null],[null],"[""select_for_evaluation""]",[],,,,False,component-final-32355a4d9bcc6137d52ada7b:d0000001-c0,False,
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,2,"[""component-final-32355a4d9bcc6137d52ada7b:d0000002-c0""]",1,0,,,[true],[null],[null],"[""score_buffer""]",[],,,,False,component-final-32355a4d9bcc6137d52ada7b:d0000002-c0,False,
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,3,"[""component-final-32355a4d9bcc6137d52ada7b:d0000003-c0""]",1,0,,,[true],[null],[null],"[""select_for_evaluation""]",[],,,,False,component-final-32355a4d9bcc6137d52ada7b:d0000003-c0,False,
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,4,"[""component-final-32355a4d9bcc6137d52ada7b:d0000004-c0""]",1,0,,,[true],[null],[null],"[""select_for_evaluation""]",[],,,,False,component-final-32355a4d9bcc6137d52ada7b:d0000004-c0,False,
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,5,"[""component-final-32355a4d9bcc6137d52ada7b:d0000005-c0""]",1,0,,,[true],[null],[null],"[""generate_structures""]",[],,,,False,component-final-32355a4d9bcc6137d52ada7b:d0000005-c0,False,
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,6,"[""component-final-32355a4d9bcc6137d52ada7b:d0000006-c0""]",1,0,,,[true],[null],[null],"[""generate_structures""]",[],,,,False,component-final-32355a4d9bcc6137d52ada7b:d0000006-c0,False,
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,7,"[""component-final-32355a4d9bcc6137d52ada7b:d0000007-c0""]",1,0,,,[true],[null],[null],"[""select_for_evaluation""]",[],,,,False,component-final-32355a4d9bcc6137d52ada7b:d0000007-c0,False,
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,8,"[""component-final-32355a4d9bcc6137d52ada7b:d0000008-c0""]",1,0,,,[true],[null],[null],"[""score_buffer""]",[],,,,False,component-final-32355a4d9bcc6137d52ada7b:d0000008-c0,False,
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,9,"[""component-final-32355a4d9bcc6137d52ada7b:d0000009-c0""]",1,0,,,[true],[null],[null],"[""select_for_evaluation""]",[],,,,False,component-final-32355a4d9bcc6137d52ada7b:d0000009-c0,False,
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,10,"[""component-final-32355a4d9bcc6137d52ada7b:d0000010-c0""]",1,0,,,[true],[null],[null],"[""select_for_evaluation""]",[],,,,False,component-final-32355a4d9bcc6137d52ada7b:d0000010-c0,False,
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,11,"[""component-final-32355a4d9bcc6137d52ada7b:d0000011-c0""]",1,0,,,[true],[null],[null],"[""generate_structures""]",[],,,,False,component-final-32355a4d9bcc6137d52ada7b:d0000011-c0,False,
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,12,"[""component-final-32355a4d9bcc6137d52ada7b:d0000012-c0""]",1,0,,,[true],[null],[null],"[""select_for_evaluation""]",[],,,,False,component-final-32355a4d9bcc6137d52ada7b:d0000012-c0,False,
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,13,"[""component-final-32355a4d9bcc6137d52ada7b:d0000013-c0""]",1,0,,,[true],[null],[null],"[""generate_structures""]",[],,,,False,component-final-32355a4d9bcc6137d52ada7b:d0000013-c0,False,
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,14,"[""component-final-32355a4d9bcc6137d52ada7b:d0000014-c0""]",1,0,,,[true],[null],[null],"[""generate_structures""]",[],,,,False,component-final-32355a4d9bcc6137d52ada7b:d0000014-c0,False,
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,15,"[""component-final-32355a4d9bcc6137d52ada7b:d0000015-c0""]",1,0,,,[true],[null],[null],"[""select_for_evaluation""]",[],,,,False,component-final-32355a4d9bcc6137d52ada7b:d0000015-c0,False,
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,16,"[""component-final-32355a4d9bcc6137d52ada7b:d0000016-c0""]",1,0,,,[true],[null],[null],"[""generate_structures""]",[],,,,False,component-final-32355a4d9bcc6137d52ada7b:d0000016-c0,False,
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,17,"[""component-final-32355a4d9bcc6137d52ada7b:d0000017-c0""]",1,0,,,[true],[null],[null],"[""score_buffer""]",[],,,,False,component-final-32355a4d9bcc6137d52ada7b:d0000017-c0,False,
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,18,"[""component-final-32355a4d9bcc6137d52ada7b:d0000018-c0""]",1,0,,,[true],[null],[null],"[""select_for_evaluation""]",[],,,,False,component-final-32355a4d9bcc6137d52ada7b:d0000018-c0,False,
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,19,"[""component-final-32355a4d9bcc6137d52ada7b:d0000019-c0""]",1,0,,,[true],[null],[null],"[""select_for_evaluation""]",[],,,,False,component-final-32355a4d9bcc6137d52ada7b:d0000019-c0,False,
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,20,"[""component-final-32355a4d9bcc6137d52ada7b:d0000020-c0""]",1,0,,,[true],[null],[null],"[""select_for_evaluation""]",[],,,,False,component-final-32355a4d9bcc6137d52ada7b:d0000020-c0,False,
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,21,"[""component-final-32355a4d9bcc6137d52ada7b:d0000021-c0""]",1,0,,,[true],[null],[null],"[""select_for_evaluation""]",[],,,,False,component-final-32355a4d9bcc6137d52ada7b:d0000021-c0,False,
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,22,"[""component-final-32355a4d9bcc6137d52ada7b:d0000022-c0""]",1,0,,,[true],[null],[null],"[""score_buffer""]",[],,,,False,component-final-32355a4d9bcc6137d52ada7b:d0000022-c0,False,
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,23,"[""component-final-32355a4d9bcc6137d52ada7b:d0000023-c0""]",1,0,,,[true],[null],[null],"[""select_for_evaluation""]",[],,,,False,component-final-32355a4d9bcc6137d52ada7b:d0000023-c0,False,
component-final-10ad51e80000935d29c71786,baseline_reference,Al-Li-V,3,0,"[""component-final-10ad51e80000935d29c71786:d0000000-c0""]",1,0,,,[true],[null],[null],"[""generate_structures""]",[],,,,False,component-final-10ad51e80000935d29c71786:d0000000-c0,False,
component-final-10ad51e80000935d29c71786,baseline_reference,Al-Li-V,3,1,"[""component-final-10ad51e80000935d29c71786:d0000001-c0""]",1,0,,,[true],[null],[null],"[""select_for_evaluation""]",[],,,,False,component-final-10ad51e80000935d29c71786:d0000001-c0,False,
component-final-10ad51e80000935d29c71786,baseline_reference,Al-Li-V,3,2,"[""component-final-10ad51e80000935d29c71786:d0000002-c0""]",1,0,,,[true],[null],[null],"[""generate_structures""]",[],,,,False,component-final-10ad51e80000935d29c71786:d0000002-c0,False,
component-final-10ad51e80000935d29c71786,baseline_reference,Al-Li-V,3,3,"[""component-final-10ad51e80000935d29c71786:d0000003-c0""]",1,0,,,[true],[null],[null],"[""generate_structures""]",[],,,,False,component-final-10ad51e80000935d29c71786:d0000003-c0,False,
component-final-10ad51e80000935d29c71786,baseline_reference,Al-Li-V,3,4,"[""component-final-10ad51e80000935d29c71786:d0000004-c0""]",1,0,,,[true],[null],[null],"[""select_for_evaluation""]",[],,,,False,component-final-10ad51e80000935d29c71786:d0000004-c0,False,
component-final-10ad51e80000935d29c71786,baseline_reference,Al-Li-V,3,5,"[""component-final-10ad51e80000935d29c71786:d0000005-c0""]",1,0,,,[true],[null],[null],"[""select_for_evaluation""]",[],,,,False,component-final-10ad51e80000935d29c71786:d0000005-c0,False,
